osmid,highway,oneway,reversed,length,lanes,maxspeed,ref,name,bridge,access,junction,geometry_wkt
30087974,secondary,False,False,3128.8414779408604,,100,DR3638,,,,,"LINESTRING (589577.9015369752 8037750.692071596, 589549.3991594336 8037922.298281983, 589514.475882296 8038064.302432123, 589475.4535819286 8038174.304140681, 589401.6544293412 8038298.646462552, 589380.473477297 8038332.510367763, 589336.167311857 8038387.577934716, 589298.8372121896 8038425.995234024, 589168.2601228188 8038560.427154338, 589055.3895958357 8038666.675183114, 588961.4290046141 8038755.245578115, 588782.6769320843 8038939.5138712395, 588715.454055489 8039039.791854203, 588647.9678677298 8039169.247809233, 588629.4510721468 8039220.934902988, 588586.4091643271 8039368.195343835, 588579.2538398467 8039404.441196931, 588570.4188822877 8039444.500687571, 588562.8994390515 8039537.265550245, 588551.6100622801 8039676.540104551, 588533.4421673103 8040198.930710882, 588524.077579925 8040533.263331022)"
30087974,secondary,False,True,10112.322227511431,,100,DR3638,,,,,"LINESTRING (589577.9015369752 8037750.692071596, 589591.4723002749 8037665.69970212, 589624.458335122 8037413.888484761, 589617.1636245883 8037281.821773461, 589598.2842493015 8037157.5965906335, 589519.8653779154 8036920.52625572, 589236.7958452668 8036195.29897266, 589205.0723635573 8036109.370071668, 589185.7183765275 8036063.05209612, 589143.9710946928 8035952.162149487, 589126.1974299633 8035889.361946875, 589114.5058135169 8035823.4585622735, 589107.059639876 8035768.102803575, 589107.1986054307 8035702.046870137, 589110.5030908354 8035632.668463261, 589173.1619833723 8035193.667524983, 589201.5997731629 8034939.509054784, 589274.3945970885 8034433.477019027, 589283.0132769387 8034294.201912144, 589273.748776417 8034192.748276634, 589249.8680827928 8034068.091453934, 589086.2743260084 8033430.167390625, 589052.1849561698 8033288.36175387, 589032.124537609 8033173.634613906, 589034.2119554017 8033066.962845594, 589065.1185248069 8032907.804406437, 589155.0305907141 8032669.977687654, 589258.5392066275 8032422.595924975, 589305.914454031 8032301.170566829, 589339.277612139 8032168.201318408, 589359.3869742765 8032053.194097249, 589386.9558662198 8031643.281957971, 589422.1771167108 8031384.333643686, 589507.5195876041 8031144.157206551, 589629.2770743981 8030910.930430675, 590010.4827348427 8030218.319977392, 590118.6099406603 8029989.897982912, 590167.5110698682 8029740.3897221275, 590181.9419475826 8029238.266334314, 590177.4411106182 8028973.255507306, 590157.7890136533 8028865.199059782, 590102.2740906774 8028703.420769136, 590008.5754827164 8028457.292920329, 589861.0464251745 8028104.114942826)"
30087974,secondary,False,False,10112.322227511428,,100,DR3638,,,,,"LINESTRING (589861.0464251745 8028104.114942826, 590008.5754827164 8028457.292920329, 590102.2740906774 8028703.420769136, 590157.7890136533 8028865.199059782, 590177.4411106182 8028973.255507306, 590181.9419475826 8029238.266334314, 590167.5110698682 8029740.3897221275, 590118.6099406603 8029989.897982912, 590010.4827348427 8030218.319977392, 589629.2770743981 8030910.930430675, 589507.5195876041 8031144.157206551, 589422.1771167108 8031384.333643686, 589386.9558662198 8031643.281957971, 589359.3869742765 8032053.194097249, 589339.277612139 8032168.201318408, 589305.914454031 8032301.170566829, 589258.5392066275 8032422.595924975, 589155.0305907141 8032669.977687654, 589065.1185248069 8032907.804406437, 589034.2119554017 8033066.962845594, 589032.124537609 8033173.634613906, 589052.1849561698 8033288.36175387, 589086.2743260084 8033430.167390625, 589249.8680827928 8034068.091453934, 589273.748776417 8034192.748276634, 589283.0132769387 8034294.201912144, 589274.3945970885 8034433.477019027, 589201.5997731629 8034939.509054784, 589173.1619833723 8035193.667524983, 589110.5030908354 8035632.668463261, 589107.1986054307 8035702.046870137, 589107.059639876 8035768.102803575, 589114.5058135169 8035823.4585622735, 589126.1974299633 8035889.361946875, 589143.9710946928 8035952.162149487, 589185.7183765275 8036063.05209612, 589205.0723635573 8036109.370071668, 589236.7958452668 8036195.29897266, 589519.8653779154 8036920.52625572, 589598.2842493015 8037157.5965906335, 589617.1636245883 8037281.821773461, 589624.458335122 8037413.888484761, 589591.4723002749 8037665.69970212, 589577.9015369752 8037750.692071596)"
142927179,primary,False,False,1133.3804883644666,,120,C46,,,,,"LINESTRING (589861.0464251745 8028104.114942826, 589925.9097761058 8028084.74537058, 589967.1988766273 8028071.136616141, 590018.5587922557 8028051.274777669, 590057.5632977824 8028034.002739929, 590144.757530626 8027987.267670769, 590189.2526818586 8027958.673383066, 590245.8478753963 8027918.018754996, 590338.8378691345 8027850.355257314, 590360.2337270579 8027836.41584477, 590403.0356493281 8027810.794089184, 590464.1141410092 8027772.795988951, 590503.3774351173 8027749.735025017, 590530.4623775131 8027735.492821272, 590616.7033597925 8027698.651710173, 590669.3178143001 8027675.385511744, 590725.9042845618 8027649.412270369, 590863.7691620671 8027588.456090391)"
142927179,primary,False,True,4497.770995882306,,120,C46,,,,,"LINESTRING (589861.0464251745 8028104.114942826, 589339.3412391777 8028262.20754896, 589250.4451589324 8028282.314030557, 589197.618830844 8028292.155860581, 589152.5842063549 8028297.868602388, 589099.6054175333 8028304.457854813, 589056.7037841849 8028308.467903906, 589000.5697888512 8028310.977153799, 588790.2625961425 8028317.861814237, 588733.8460664694 8028318.811461897, 588621.0189623215 8028319.670175521, 588299.5728234395 8028330.498241547, 588050.8949218211 8028340.367362551, 587923.8642387693 8028345.312686468, 587887.7819623054 8028348.150296306, 587820.738434408 8028356.779007763, 587769.6163088202 8028366.332826904, 587687.2591801808 8028384.5001463005, 586834.4749377909 8028631.78423807, 586664.155951576 8028681.40145862, 586319.4929718721 8028781.655779425, 586105.8677544298 8028843.041093784, 585906.8560538716 8028902.103583992, 585844.2577728555 8028919.745944269, 585482.7189675889 8029025.701257474)"
123099177,residential,False,False,59.61694660425128,,60,,,,,,"LINESTRING (575313.3391584221 8033245.2702379655, 575307.6565942736 8033186.219865709)"
123099177,residential,False,True,211.410584638966,,60,,,,,,"LINESTRING (575313.3391584221 8033245.2702379655, 575315.5717052319 8033294.575031437, 575316.1960616959 8033308.292304877, 575318.3714257551 8033356.49088992, 575326.8487236071 8033383.798469231, 575344.9696040787 8033413.304472866, 575352.9877788584 8033428.531649018, 575355.6141375349 8033436.288779884, 575356.2474755486 8033446.77526402)"
1138073276,residential,False,False,364.8664233922116,,,,,,,,"LINESTRING (575313.3391584221 8033245.2702379655, 575362.2079597764 8033226.77373714, 575413.4000772873 8033203.234074474, 575506.0752809393 8033161.900362566, 575609.4166952481 8033113.079403197, 575646.9340072554 8033097.71227311)"
89503861,residential,False,False,180.30852276470142,,60,,,,,,"LINESTRING (575556.54121621 8032152.937858373, 575508.8339404429 8031979.90852846)"
142920330,residential,False,False,39.4959056161981,,60,,,,,,"LINESTRING (575556.54121621 8032152.937858373, 575524.9395635199 8032176.558466472)"
